Id,SalePrice
1461,122150.8
1462,249260.83
1463,185980.58
1464,195575.56
1465,173573.17
1466,171550.02
1467,169144.64
1468,157641.38
1469,192063.08
1470,124590.33
1471,191980.97
1472,76260.26
1473,84912.07
1474,141078.2
1475,96555.24
1476,337304.34
1477,243070.33
1478,278939.4
1479,273326.84
1480,463919.2
1481,320434.47
1482,191237.48
1483,174111.36
1484,143375.17
1485,174039.92
1486,194951.17
1487,325861.78
1488,247668.97
1489,178660.08
1490,241206.61
1491,195952.56
1492,85524.72
1493,194802.8
1494,275563.03
1495,290126.9
1496,215464.75
1497,172666.8
1498,152244.75
1499,150299.17
1500,141327.2
1501,156560.42
1502,136154.27
1503,302594.34
1504,229163.14
1505,213288.19
1506,174673.73
1507,258469.06
1508,203260.64
1509,165874.34
1510,136466.03
1511,148829.52
1512,166959.69
1513,131157.27
1514,146476.17
1515,212603.72
1516,155175.8
1517,161626.47
1518,120976.26
1519,217909.08
1520,124312.84
1521,130345.36
1522,171701.02
1523,96465.234
1524,117718.61
1525,118579.77
1526,105641.7
1527,109571.25
1528,135031.81
1529,133898.67
1530,205050.02
1531,102864.74
1532,134924.61
1533,175263.9
1534,110481.97
1535,154028.28
1536,104452.09
1537,62920.848
1538,182400.34
1539,208138.05
1540,141796.84
1541,139090.47
1542,129765.805
1543,188827.14
1544,104472.31
1545,101496.36
1546,137904.11
1547,134593.02
1548,120005.13
1549,95646.73
1550,123358.64
1551,115074.555
1552,170109.86
1553,165834.47
1554,127674.71
1555,165673.45
1556,84682.97
1557,116040.414
1558,91963.734
1559,110548.484
1560,109019.48
1561,113934.71
1562,127414.766
1563,120132.27
1564,153200.56
1565,139211.67
1566,256776.61
1567,80632.08
1568,217799.7
1569,117698.62
1570,124897.22
1571,106623.33
1572,146574.23
1573,252448.6
1574,103972.42
1575,258691.28
1576,262885.03
1577,173931.89
1578,138119.86
1579,144885.3
1580,193053.67
1581,158580.45
1582,128183.47
1583,345375.9
1584,222462.58
1585,132383.62
1586,77910.195
1587,100320.19
1588,145157.86
1589,102863.484
1590,125031.125
1591,119991.234
1592,96630.984
1593,117099.58
1594,173742.42
1595,109726.53
1596,197596.42
1597,169363.55
1598,197935.58
1599,164419.72
1600,151373.53
1601,80432.836
1602,99408.63
1603,103989.83
1604,250908.45
1605,260116.19
1606,172042
1607,169249.84
1608,204681.38
1609,174553.42
1610,139646.05
1611,130430.125
1612,159213.14
1613,150547.47
1614,120753.2
1615,119229.38
1616,100950.14
1617,90206.16
1618,121701.3
1619,153434.53
1620,216568.62
1621,123742.984
1622,123896.234
1623,284418.66
1624,221899.92
1625,117787.28
1626,161502.05
1627,196953.56
1628,287983.75
1629,174505.38
1630,367035.47
1631,194421.48
1632,228446.55
1633,164285.36
1634,175169.89
1635,158021.92
1636,138803.1
1637,187330.16
1638,207282.22
1639,188344.67
1640,269948.9
1641,188007.67
1642,211975.52
1643,214025.8
1644,214075.19
1645,224855.48
1646,149788.61
1647,159401.27
1648,111662.67
1649,126845.56
1650,129496.47
1651,120436.016
1652,83387.234
1653,87083.53
1654,140590.83
1655,124004.53
1656,132780.92
1657,139313.48
1658,130660.58
1659,110737.984
1660,150338.08
1661,439862
1662,366818.88
1663,346171.72
1664,496775.75
1665,283789.94
1666,327879.56
1667,357606.38
1668,307182.72
1669,287678
1670,320343.56
1671,267622.47
1672,419594.34
1673,319278.7
1674,241970.12
1675,179464.86
1676,183628.28
1677,209490.89
1678,480159.1
1679,377361.66
1680,288458.16
1681,220529.6
1682,306454.28
1683,169441.86
1684,180774.83
1685,162718.05
1686,149580.95
1687,161890.69
1688,189703.58
1689,190844.08
1690,183454.3
1691,165668.64
1692,249788.78
1693,160048.47
1694,169480.94
1695,158795.89
1696,277121
1697,165456.61
1698,352990.56
1699,278175.4
1700,251154.86
1701,266409.03
1702,254615.47
1703,268642.28
1704,287753.62
